lat,long,ind
42.3458,  -83.0607, 16998
42.362,  -83.0651, 16998
42.3374,  -83.0274, 16998
42.3791,  -83.0106, 16998
42.4329,  -83.152, 16998
42.3912,  -83.2025, 16998
42.3604,  -83.1521, 16998
42.3976,  -82.9434, 16998
42.4094,  -82.9444, 16998
42.3482,  -83.1416, 16998
42.3466,  -83.1985, 16998
42.4253,  -82.9625, 16998
42.4227,  -83.0699, 16998
42.3627,  -83.0029, 16998
42.4216,  -83.258, 16998
42.4325,  -83.0686, 16998
42.4187,  -83.0637, 16998
42.4338,  -83.0376, 16998
42.4295,  -82.9396, 16998
42.3528,  -83.1283, 16998
42.4148,  -83.1724, 16998
42.4227,  -83.1914, 16998
42.4284,  -83.278, 16998
42.369,  -83.072, 16998
42.4177,  -83.0069, 16998
42.3145,  -83.0981, 7999
42.3965,  -83.2319, 7999
42.3717,  -83.1769, 7999
42.3533,  -83.1543, 7999
42.4189,  -83.1557, 7999
42.3922,  -82.9697, 7999
42.3519,  -83.2022, 7999
42.3409,  -83.2258, 7999
42.3051,  -83.1293, 7999
42.4294,  -82.9394, 7999
42.4392,  -83.2007, 7999
42.392,  -82.9703, 7999
42.3082,  -83.131, 7999
42.415,  -83.1721, 7999
42.3844,  -83.0207, 7999
42.3092,  -83.1065, 7999
42.4241,  -83.2745, 7999
42.3702,  -83.2646, 7999
42.4198,  -82.9578, 7999
42.4043,  -83.2458, 7999
42.3459,  -83.2621, 7998
42.4421,  -83.2606, 7998
42.3457,  -83.2245, 7998
42.4433,  -83.1476, 7998
42.3725,  -83.2653, 7998
42.4215,  -82.9264, 7998
42.3855,  -82.9467, 20999
42.3399,  -83.2082, 18000
42.4441,  -83.2085, 18000
42.4112,  -83.1989, 18000
42.3502,  -83.0439, 18000
42.3372,  -83.0367, 18000
42.44,  -83.0787, 18000
42.389,  -82.9769, 18000
42.387,  -83.2748, 18000
42.435,  -82.9878, 18000
42.3261,  -83.1118, 18000
42.3438,  -83.0379, 18000
42.4174,  -83.2174, 18000
42.3696,  -83.1591, 18000
42.3843,  -83.1274, 18000
42.4158,  -82.9521, 16998
42.3438,  -83.2264, 16998
42.4302,  -83.0497, 16998
42.3947,  -83.0801, 16998
42.306,  -83.1066, 16998
42.4189,  -83.1136, 16998
42.4188,  -83.1996, 16998
42.391,  -83.1959, 16998
42.4076,  -83.1392, 16998
42.4195,  -82.9391, 16998
42.3834,  -82.9914, 16998
42.3666,  -83.1971, 16998
42.4196,  -82.9507, 16998
42.4198,  -82.9509, 16998
42.3528,  -83.0767, 16998
42.392,  -82.9493, 16998
42.4419,  -82.9631, 16998
42.4304,  -83.1936, 16998
42.4353,  -82.9775, 7999
42.374,  -83.1606, 7999
42.38,  -83.1372, 7999
42.3991,  -83.1358, 7999
42.4069,  -83.2168, 7999
42.3894,  -83.1652, 7999
42.3726,  -83.0928, 7999
42.3458,  -83.2233, 7999
42.3679,  -83.0179, 7999
42.3969,  -83.1407, 7999
42.4361,  -82.9939, 7999
42.3932,  -82.9696, 7999
42.3332,  -83.1405, 7999
42.3737,  -83.1762, 7999
42.3965,  -83.2521, 7999
42.4365,  -83.1467, 7999
42.3984,  -83.1867, 7999
42.4357,  -83.2132, 7999
42.3274,  -83.0729, 7999
42.4328,  -83.2745, 7999
42.318,  -83.1003, 7999
42.4082,  -83.1768, 7999
42.4442,  -83.0669, 7999
42.407,  -83.1553, 7999
42.3614,  -83.1679, 7999
42.3181,  -83.1005, 7999
42.4234,  -82.9633, 7999
42.4004,  -83.1879, 7999
42.4314,  -83.1709, 7999
42.3971,  -83.2565, 7999
42.4239,  -82.9409, 7999
42.4435,  -82.9885, 7999
42.4302,  -83.2591, 7999
42.3958,  -83.2219, 7999
42.3906,  -83.1419, 7998
42.3661,  -83.0741, 7998
42.3538,  -83.0689, 7998
